title,id,description,image_link,price,availability,link
Pendientes de cuarzo blanco / Pendientes de perlas / Pendientes dorados,47,"Preciosos pendientes formados por un cuerpo dorado que se viste con un cuarzo rosa y unas pequeñas perlas. La combinación crea unos hermosos y elegantes pendientes

Materiales
Cuerpo dorado
cuarzo rosado
perlas


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2233014235.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-de-cuarzo-blanco-Pendientes-de-perlas-Pendientes-dorados/p/293311604
pendientes de flor / pendientes de bronce / pendientes violeta,26,"Preciosos pendientes de corazón creados a mano que lucen perfectamente con cualquier combinación. Pendientes con corazón de bronce talladas a mano y trabajadas con ácido. Hay dos opciones de colores para los cristales Checos en Rojo o en un precioso naranja.
Las piezas de corazón son creadas a mano y trabajadas en nuestro taller al no ser creados en una fabrica China el resultado puede variar sobre la imagen de la foto.

Materiales
Corazón de cobre trabajada a mano y envejecida con ácido.
Hilo dorado
Piedra violeta


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049081344.jpg,19.0,in stock,https://muyaya.es#!/pendientes-de-flor-pendientes-de-bronce-pendientes-violeta/p/273446910
Pendientes de gota / pendientes de piedra / pendientes azul y oro,57,"Maravillosos pendientes de gota creados con cuarzos azules y cuentas doradas que en conjunto crean una pieza ideal para un vestido de noche. Pendientes de 3 cm de diámetro.

Materiales
Cuarzos verde
Cuentas doradas
Broche de cobre

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2044012539.jpg,10.0,in stock,https://muyaya.es#!/Pendientes-de-gota-pendientes-de-piedra-pendientes-azul-y-oro/p/303171009
Pendientes de gota / pendientes de piedra / pendientes marrón y oro,58,"Maravillosos pendientes de gota creados con cuarzos marrones y cuentas doradas que en conjunto crean una pieza ideal para un vestido de noche. Pendientes de 3 cm de diámetro.

Materiales
Cuarzos marrones
Cuentas doradas
Broche de cobre
",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2047913478.jpg,10.0,in stock,https://muyaya.es#!/Pendientes-de-gota-pendientes-de-piedra-pendientes-marrón-y-oro/p/303695277
Pendientes de gota / pendientes de piedra / pendientes verde y oro,56,"Maravillosos pendientes de gota creados con cuarzos verdes y cuentas doradas que en conjunto crean una pieza ideal para un vestido de noche. Pendientes de 3 cm de diámetro.

Materiales
Cuarzos verde
Cuentas doradas
Broche de cobre

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2044052043.jpg,10.0,in stock,https://muyaya.es#!/Pendientes-de-gota-pendientes-de-piedra-pendientes-verde-y-oro/p/303074373
Pendientes de perlas grises / Pendientes de bolas / Pendientes de lagrima,4,"Estos maravillosos pendientes plateados con perlas grises son perfectos para cualquier ocasión. No pesan y quedan perfectamente con un vestido de noche o con ropa sport. No pierdas la oportunidad.

Materiales
Perlas grises
Broches metálicos
Cadena metálica


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048700984.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-de-perlas-grises-Pendientes-de-bolas-Pendientes-de-lagrima/p/253364399
Pendientes de perlas / Pendientes de aro / Pendientes blancos,23,"Cada pieza ha sido escogida una a una para crear esta perfecta combinación de pendientes. Los colores de las perlas y la forma de uva del pendiente hacen de esta una pieza única. No esperes y aprovecha la oportunidad. Maravillosos pendientes de perlas

Materiales
Perlas
Broche plateado

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049081252.jpg,13.0,in stock,https://muyaya.es#!/Pendientes-de-perlas-Pendientes-de-aro-Pendientes-blancos/p/260847649
Pendientes de perlas / Pendientes largos / Pendientes blancos,1,"Creados a mano estos pendientes de perlas con piedras son perfectos para cualquier situación diaria. Hermosos pesan muy poco y combinan perfectamente con cualquier modelo.

Materiales
Perlas
Piedras de cristal de cuarzo moradas.
Cadena plateada.
Broches plateados.


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048761607.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-de-perlas-Pendientes-largos-Pendientes-blancos/p/245633166
Pendientes de perlas / Pendientes largos / Pendientes verdes,3,"Estos pendientes largos son preciosos destacan la belleza natural de la mujer y definitivamente sientan bien. Pendientes creados a manos de perlas y piedras verdes elegantes perfectos para tu cita.

Materiales

Perlas.
Piedras verdes de cuarzo.
Cadena plateada.
Hilo plateado.
Broche plateado.

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048814073.jpg,19.0,in stock,https://muyaya.es#!/Pendientes-de-perlas-Pendientes-largos-Pendientes-verdes/p/253354703
Pendientes de Piedras Dorados O Plateados,74,"Preciosos pendiente creados a mano uno a uno con pedrería turquesa. Bellos  y minimalistas valen para cualquier ocasión. Son de 4 cm de largo y el colgante son 3 cm de diámetro.

Materiales
Cristal Checo

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2452055305.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-de-Piedras-Dorados-O-Plateados/p/381383013
Pendientes largos / Pendientes con coral / Pendientes rojos,42,"Preciosos pendientes en forma de lágrima de coral rojo que terminan en cuentas doradas. Estos pendientes se pueden usar en cualquier ocasión.

Materiales
Coral rojo
Cuentas doradas

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049144374.jpg,8.0,in stock,https://muyaya.es#!/Pendientes-largos-Pendientes-con-coral-Pendientes-rojos/p/293376463
Pendientes largos / Pendientes con cristal / Pendientes Naranja,43,"Preciosos pendientes de corazón creados a mano que lucen perfectamente con cualquier combinación. Pendientes con corazones de bronce talladas a mano y trabajadas con ácido.
Hay dos opciones a escoger entre el color rojo y un maravilloso color naranja (mis favoritos)
Las piezas de corazones son creadas a mano y trabajadas en nuestro taller al no ser creados en una fabrica China el resultado puede variar sobre la imagen de la foto.

Materiales
Corazón de cobre trabajada a mano y envejecida con ácido.
Cristal Checo

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2233022477.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-largos-Pendientes-con-cristal-Pendientes-Naranja/p/293324583
